Date,pri,S,V,V,temp,A,
2/17/2014,613.04,609.9207435,3.119256453,3.119256453,0.420743547,0.83726407,Buy
2/17/2014 1:00:00,617.53,613.7253718,3.804628226,3.804628226,0.685371774,0.799290996,Buy
2/17/2014 2:00:00,610.24,611.9826859,-1.742685887,-1.742685887,-5.547314113,-0.787360281,Sell
2/17/2014 3:00:00,611.95,611.9663429,-0.016342943,-0.016342943,1.726342943,-0.158934475,Sell
2/17/2014 4:00:00,605.69,608.8281715,-3.138171472,-3.138171472,-3.121828528,-0.899657989,Sell
2/17/2014 5:00:00,609.73,609.2790857,0.450914264,0.450914264,3.589085736,0.222527943,Buy
2/17/2014 6:00:00,611.19,610.2345429,0.955457132,0.955457132,0.504542868,0.293031674,Buy
2/17/2014 7:00:00,621.56,615.8972714,5.662728566,5.662728566,4.707271434,1.396591614,Buy
2/17/2014 8:00:00,626.28,621.0886357,5.191364283,5.191364283,-0.471364283,0.92960264,Buy
2/17/2014 9:00:00,614.09,617.5893179,-3.499317858,-3.499317858,-8.690682142,-1.475468556,Sell
2/17/2014 10:00:00,638.48,628.0346589,10.44534107,10.44534107,13.94465893,2.379563316,Buy
2/17/2014 11:00:00,640.77,634.4023295,6.367670535,6.367670535,-4.077670535,0.765254853,Buy
2/17/2014 12:00:00,648.25,641.3261647,6.923835268,6.923835268,0.556164732,0.712982323,Buy
2/17/2014 13:00:00,641.42,641.3730824,0.046917634,0.046917634,-6.876917634,-1.184492666,Buy
2/17/2014 14:00:00,635.79,638.5815412,-2.791541183,-2.791541183,-2.838458817,-1.597984204,Sell
2/17/2014 15:00:00,636.29,637.4357706,-1.145770592,-1.145770592,1.645770592,-0.787045505,Sell
2/17/2014 16:00:00,639,638.2178853,0.782114704,0.782114704,1.927885296,-0.108312805,Sell
2/17/2014 17:00:00,633.24,635.7289426,-2.488942648,-2.488942648,-3.271057352,-0.898998942,Sell
2/17/2014 18:00:00,624.68,630.2044713,-5.524471324,-5.524471324,-3.035528676,-1.433131375,Sell
2/17/2014 19:00:00,625.76,627.9822357,-2.222235662,-2.222235662,3.302235662,-0.249289616,Sell
2/17/2014 20:00:00,623.98,625.9811178,-2.001117831,-2.001117831,0.221117831,-0.131687754,Sell
2/17/2014 21:00:00,620.93,623.4555589,-2.525558915,-2.525558915,-0.524441085,-0.229876087,Sell
2/17/2014 22:00:00,621.93,622.6927795,-0.762779458,-0.762779458,1.762779458,0.268287799,Sell
2/17/2014 23:00:00,621.34,622.0163897,-0.676389729,-0.676389729,0.086389729,0.222813282,Sell
2/18/2014 1:00:00,624.96,623.4881949,1.471805136,1.471805136,2.148194864,0.704158677,Buy
2/18/2014 2:00:00,628.58,626.0340974,2.545902568,2.545902568,1.074097432,0.796643366,Buy
2/18/2014 3:00:00,634.13,630.0820487,4.047951284,4.047951284,1.502048716,0.972994704,Buy
2/18/2014 4:00:00,634.99,632.5360244,2.453975642,2.453975642,-1.593975642,0.331252117,Buy
2/18/2014 5:00:00,634.27,633.4030122,0.866987821,0.866987821,-1.586987821,-0.148307867,Buy
2/18/2014 6:00:00,628.71,631.0565061,-2.34650609,-2.34650609,-3.21349391,-0.914604378,Sell
2/18/14 6:00,628.71,631.0565061,-2.34650609,-2.34650609,-3.21349391,-0.914604378,Sell2/18/14 7:00,628.75,629.9032531,-1.15325305,-1.15325305,1.19325304,-0.387640024,Sell2/18/14 8:00,623.94,627.3228765,-2.580376525,-2.580376525,-1.427123475,-0.647510886,Sell2/18/14 9:00,626.02,626.9026883,-0.420188263,-0.420188263,2.160188263,0.054413901,Sell2/18/14 10:00,626.98,624.9700941,-1.932594131,-1.932594131,-1.512405869,-0.337291041,Sell2/18/14 11:00,620.625,622.7975471,-2.172547066,-2.172547066,-0.239952935,-0.312956515,Sell2/18/14 12:00,623.32,622.7975471,-2.172547066,-2.172547066,-0.239952935,-0.312956515,Sell2/18/14 13:00,616.36,622.7975471,-2.172547066,-2.172547066,-0.239952935,-0.312956515,Sell2/18/14 14:00,617,622.7975471,-2.172547066,-2.172547066,-0.239952935,-0.312956515,Sell2/18/14 15:00,619.73,622.7975471,-2.172547066,-2.172547066,-0.239952935,-0.312956515,Sell